"country","arableLandByCountry2021_acres","arableLandByCountry2021_hectares","arableLandByCountry_hectares","arableLandByCountry_acresCalculated"
"India",381649191,154447948,156067000,156067000
"China",269003860,108862000,119474200,119474200
"United States",389776121,157736800,157736800,157736800
"Indonesia",64988715,26300000,26300000,26300000
"Pakistan",75391852,30510000,30507000,30507000
"Nigeria",91112696,36872000,34000000,34000000
"Brazil",143945705,58252760,55762000,55762000
"Bangladesh",20040246,8110000,7967000,7967000
"Russia",300601226,121649000,121649000,121649000
"Ethiopia",40312772,16314000,16187000,16187000
"Mexico",49628645,20084000,19400000,19400000
"Japan",10096726,4086000,4124000,4124000
"Egypt",7603433,3077000,2910969,2910969
"Philippines",13813191,5590000,5590000,5590000
"DR Congo",33804016,13680000,11800000,11800000
"Vietnam",16771042,6787000,6784000,6784000
"Iran",38793074,15699000,15645000,15645000
"Turkey",49127021,19881000,19580000,19580000
"Germany",28807545,11658000,11714000,11714000
"Thailand",42378573,17150000,16810000,16810000
"United Kingdom",14850549,6009804,6085568,6085568
"Tanzania",33365404,13502500,13500000,13500000
"France",44371626,17956560,19065023,19065023
"South Africa",29652646,12000000,12000000,12000000
"Italy",17773826,7192812,6914183,6914183
"Kenya",14332112,5800000,5800000,5800000
"Myanmar",27156881,10990000,10990374,10990374
"Colombia",4924810,1993000,5971000,5971000
"South Korea",3318625,1343000,1364000,1364000
"Sudan",51879379,20994840,19823160,19823160
"Uganda",17050271,6900000,6900000,6900000
"Spain",28540803,11550053,11812315,11812315
"Algeria",18608518,7530600,7505017,7505017
"Iraq",12278666,4969000,5000000,5000000
"Argentina",104300117,42208760,32632760,32632760
"Afghanistan",19345880,7829000,7788000,7788000
"Yemen",2861480,1158000,1158000,1158000
"Canada",94540048,38259000,38648000,38648000
"Poland",27376212,11078760,11055000,11055000
"Morocco",18562556,7512000,6898964,6898964
"Angola",13276972,5373000,4900000,4900000
"Ukraine",81356976,32924000,32924000,32924000
"Uzbekistan",9923999,4016100,4033500,4033500
"Malaysia",2041090,826000,826000,826000
"Mozambique",13961454,5650000,5650000,5650000
"Ghana",11635945,4708900,3316041,3316041
"Peru",10601552,4290296,4299300,4299300
"Saudi Arabia",8475715,3430000,3441000,3441000
"Madagascar",7413161,3000000,3000000,3000000
"Ivory Coast",8648688,3500000,3500000,3500000
"Nepal",5223066,2113700,2113700,2113700
"Cameroon",15320534,6200000,6200000,6200000
"Venezuela",6424740,2600000,2600000,2600000
"Niger",43737653,17700000,17700000,17700000
"Australia",77257498,31265000,30573000,30573000
"North Korea",5671069,2295000,2280000,2280000
"Syria",11516635,4660617,4662000,4662000
"Mali",20611060,8341000,6411000,6411000
"Burkina Faso",15073428,6100000,6000000,6000000
"Taiwan",,,590200,590200
"Sri Lanka",3390286,1372000,1371573,1371573
"Malawi",9884215,4000000,3600000,3600000
"Zambia",9390004,3800000,3800000,3800000
"Kazakhstan",73315425,29669700,29857200,29857200
"Chad",13096585,5300000,5200000,5200000
"Chile",3246718,1313900,1168000,1168000
"Romania",21221410,8588000,8966000,8966000
"Somalia",2718159,1100000,1100000,1100000
"Senegal",9464136,3830000,3200000,3200000
"Guatemala",3840018,1554000,862000,862000
"Netherlands",2478467,1003000,1011100,1011100
"Ecuador",2530359,1024000,989000,989000
"Cambodia",10181088,4120140,3876000,3876000
"Zimbabwe",9884215,4000000,4000000,4000000
"Guinea",7660267,3100000,3100000,3100000
"Benin",6918951,2800000,2800000,2800000
"Rwanda",3134285,1268400,1151700,1151700
"Burundi",3138238,1270000,1200000,1200000
"Bolivia",12029997,4868367,4540000,4540000
"Tunisia",6996295,2831300,2607000,2607000
"South Sudan",5917433,2394700,,
"Haiti",2483409,1005000,1070000,1070000
"Belgium",2139043,865640,857286,857286
"Jordan",492234,199200,208621,208621
"Dominican Republic",2167114,877000,877000,877000
"United Arab Emirates",124294,50300,49900,49900
"Cuba",7187307,2908600,3009600,3009600
"Honduras",2515533,1018000,1020000,1020000
"Czech Republic",6116686,2475335,,
"Sweden",6264541,2535170,2540120,2540120
"Tajikistan",2070743,838000,699900,699900
"Papua New Guinea",817919,331000,300000,300000
"Portugal",2385145,965234,919190,919190
"Azerbaijan",5162031,2089000,2096100,2096100
"Greece",5268114,2131930,2136600,2136600
"Hungary",10229431,4139704,4317000,4317000
"Togo",6548293,2650000,2650000,2650000
"Israel",931587,377000,378000,378000
"Austria",3261210,1319765,1325530,1325530
"Belarus",13897207,5624000,5713000,5713000
"Switzerland",977215,395465,398794,398794
"Sierra Leone",3914149,1584000,1584000,1584000
"Laos",3024570,1224000,1550000,1550000
"Turkmenistan",4793844,1940000,1940000,1940000
"Hong Kong",4942,2000,3000,3000
"Libya",4250213,1720000,1720000,1720000
"Kyrgyzstan",3181235,1287400,1287400,1287400
"Paraguay",11697969,4734000,4734000,4734000
"Nicaragua",3713994,1503000,1504000,1504000
"Bulgaria",8649865,3500476,3476000,3476000
"Serbia",6461806,2615000,2579000,2579000
"El Salvador",1781630,721000,721000,721000
"Republic of the Congo",1359080,550000,,
"Denmark",5824274,2357000,2393200,2393200
"Singapore",1384,560,560,560
"Lebanon",344218,139300,132000,132000
"Finland",5542574,2243000,2245000,2245000
"Liberia",1235527,500000,500000,500000
"Norway",1986727,804000,799885,799885
"Slovakia",3276617,1326000,1349000,1349000
"Palestine",,,87000,87000
"Central African Republic",4447897,1800000,1800000,1800000
"Oman",204134,82610,77840,77840
"Ireland",1077379,436000,443000,443000
"New Zealand",1522169,616000,546000,546000
"Mauritania",1111974,450000,400000,400000
"Costa Rica",600466,243000,254500,254500
"Kuwait",19768,8000,8000,8000
"Panama",1396145,565000,565000,565000
"Croatia",2117693,857000,823000,823000
"Georgia",770969,312000,307000,307000
"Eritrea",1705027,690000,690000,690000
"Mongolia",3293421,1332800,1328800,1328800
"Uruguay",5017734,2030605,2008000,2008000
"Puerto Rico",124047,50200,50200,50200
"Bosnia and Herzegovina",2490822,1008000,1015000,1015000
"Qatar",51892,21000,14000,14000
"Moldova",4227973,1711000,1689900,1689900
"Namibia",1976843,800000,800000,800000
"Armenia",1095715,443420,444800,444800
"Lithuania",5631532,2279000,2211900,2211900
"Jamaica",296526,120000,120000,120000
"Albania",1482385,599900,610000,610000
"Gambia",1087264,440000,440000,440000
"Gabon",803092,325000,325000,325000
"Botswana",642474,260000,260000,260000
"Lesotho",1060082,429000,138000,138000
"Guinea-Bissau",741316,300000,300000,300000
"Slovenia",447137,180950,181230,181230
"Equatorial Guinea",130966,53000,120000,120000
"Latvia",3365575,1362000,1319000,1319000
"North Macedonia",1030429,417000,419000,419000
"Bahrain",5189,2100,1600,1600
"Trinidad and Tobago",61776,25000,25000,25000
"Timor-Leste",275523,111500,155000,155000
"Estonia",1729738,700000,692800,692800
"Cyprus",235138,95157,96262,96262
"Mauritius",185329,75000,75000,75000
"Eswatini",437377,177000,175000,175000
"Djibouti",7413,3000,2000,2000
"Fiji",189777,76800,165000,165000
"Reunion",,,34190,34190
"Comoros",160619,65000,66000,66000
"Guyana",1037843,420000,420000,420000
"Solomon Islands",56834,23000,20000,20000
"Bhutan",232279,94000,94000,94000
"Luxembourg",154372,62472,61959,61959
"Montenegro",21992,8900,9000,9000
"Suriname",143321,58000,62000,62000
"Western Sahara",,,4000,4000
"Malta",19274,7800,9070,9070
"Maldives",9637,3900,3900,3900
"Brunei",9884,4000,4000,4000
"Belize",247105,100000,90000,90000
"Bahamas",19768,8000,8000,8000
"Iceland",298998,121000,121000,121000
"Guadeloupe",,,22300,22300
"Martinique",,,10900,10900
"Vanuatu",49421,20000,20000,20000
"Mayotte",,,17250,17250
"New Caledonia",14752,5970,5970,5970
"Barbados",17297,7000,7000,7000
"French Polynesia",6178,2500,2500,2500
"Sao Tome and Principe",9884,4000,4000,4000
"Samoa",27898,11290,32500,32500
"Saint Lucia",6598,2670,3000,3000
"Guam",2471,1000,1000,1000
"Kiribati",4942,2000,2000,2000
"Seychelles",371,150,150,150
"Grenada",7413,3000,3000,3000
"Micronesia",4942,2000,2000,2000
"Aruba",,,2000,2000
"Tonga",49421,20000,20000,20000
"Saint Vincent and the Grenadines",4942,2000,2000,2000
"Antigua and Barbuda",9884,4000,4000,4000
"United States Virgin Islands",,,800,800
"Isle of Man",,,24100,24100
"Andorra",1848,748,800,800
"Cayman Islands",494,200,200,200
"Dominica",14826,6000,6000,6000
"Bermuda",741,300,300,300
"Faroe Islands",173,70,3000,3000
"Saint Kitts and Nevis",12355,5000,5000,5000
"American Samoa",2397,970,3190,3190
"Turks and Caicos Islands",,,1000,1000
"Northern Mariana Islands",,,80,80
"Liechtenstein",4275,1730,1480,1480
"British Virgin Islands",,,1000,1000
"Marshall Islands",1236,500,2000,2000
"San Marino",4905,1985,1985,1985
"Palau",741,300,300,300
"Cook Islands",,,1000,1000
"Saint Pierre and Miquelon",,,2000,2000
"Montserrat",,,2000,2000
"Niue",,,1000,1000
"Total",,,1381833089,
